"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"""
"AUS,""PISAMATH"",""BOY"",""MEANSCORE"",""A"",""2018"",494"
"AUS,""PISAMATH"",""GIRL"",""MEANSCORE"",""A"",""2018"",488"
"AUT,""PISAMATH"",""BOY"",""MEANSCORE"",""A"",""2018"",505"
"TUR,""PISAMATH"",""BOY"",""MEANSCORE"",""A"",""2018"",456,"
"TUR,""PISAMATH"",""GIRL"",""MEANSCORE"",""A"",""2018"",451,"
"GBR,""PISAMATH"",""BOY"",""MEANSCORE"",""A"",""2018"",508,"
"GBR,""PISAMATH"",""GIRL"",""MEANSCORE"",""A"",""2018"",496,"
"USA,""PISAMATH"",""BOY"",""MEANSCORE"",""A"",""2018"",482,"
"USA,""PISAMATH"",""GIRL"",""MEANSCORE"",""A"",""2018"",474,"
"BRA,""PISAMATH"",""BOY"",""MEANSCORE"",""A"",""2018"",388,"
"BRA,""PISAMATH"",""GIRL"",""MEANSCORE"",""A"",""2018"",379,"
"CHL,""PISAMATH"",""BOY"",""MEANSCORE"",""A"",""2018"",421,"
"CHL,""PISAMATH"",""GIRL"",""MEANSCORE"",""A"",""2018"",414,"
"EST,""PISAMATH"",""BOY"",""MEANSCORE"",""A"",""2018"",528,"
"EST,""PISAMATH"",""GIRL"",""MEANSCORE"",""A"",""2018"",519,"
"IDN,""PISAMATH"",""BOY"",""MEANSCORE"",""A"",""2018"",374,"
"IDN,""PISAMATH"",""GIRL"",""MEANSCORE"",""A"",""2018"",383,"
"ISR,""PISAMATH"",""BOY"",""MEANSCORE"",""A"",""2018"",458,"
"ISR,""PISAMATH"",""GIRL"",""MEANSCORE"",""A"",""2018"",467,"
"RUS,""PISAMATH"",""BOY"",""MEANSCORE"",""A"",""2018"",490,"
"RUS,""PISAMATH"",""GIRL"",""MEANSCORE"",""A"",""2018"",485,"
"SVN,""PISAMATH"",""BOY"",""MEANSCORE"",""A"",""2018"",509,"
"SVN,""PISAMATH"",""GIRL"",""MEANSCORE"",""A"",""2018"",509,"
"OAVG,""PISAMATH"",""BOY"",""MEANSCORE"",""A"",""2018"",492,"
"OAVG,""PISAMATH"",""GIRL"",""MEANSCORE"",""A"",""2018"",487,"
"LVA,""PISAMATH"",""BOY"",""MEANSCORE"",""A"",""2018"",500,"
"LVA,""PISAMATH"",""GIRL"",""MEANSCORE"",""A"",""2018"",493,"
"COL,""PISAMATH"",""BOY"",""MEANSCORE"",""A"",""2018"",401,"
"COL,""PISAMATH"",""GIRL"",""MEANSCORE"",""A"",""2018"",381,"
"CRI,""PISAMATH"",""BOY"",""MEANSCORE"",""A"",""2018"",411,"
"CRI,""PISAMATH"",""GIRL"",""MEANSCORE"",""A"",""2018"",394,"
"LTU,""PISAMATH"",""BOY"",""MEANSCORE"",""A"",""2018"",480,"
"LTU,""PISAMATH"",""GIRL"",""MEANSCORE"",""A"",""2018"",482,"
